timestamp,MUX1_0_pF,MUX1_1_pF,MUX1_2_pF,MUX1_3_pF,MUX2_0_pF,MUX2_1_pF,MUX2_2_pF,MUX2_3_pF
132.861,309.136664,290.265692,294.113996,294.227247,306.169465,288.604968,292.326733,293.080891
133.244,309.135368,290.265861,294.116840,294.307772,306.162664,288.605723,292.327630,293.051090
133.600,309.136016,290.263958,294.116581,294.254890,306.164855,288.605136,292.329980,293.023651
133.941,309.136062,290.263831,294.114858,294.240313,306.182658,288.609205,292.327715,293.033468
134.293,309.133239,290.264423,294.117745,294.223754,306.167913,288.605723,292.333099,293.079133
134.631,309.136988,290.263069,294.116366,294.297548,306.165403,288.602242,292.327331,293.047017
135.013,309.135414,290.264507,294.113392,294.250276,306.163577,288.603416,292.324981,293.020221
135.362,309.135137,290.264719,294.114599,294.237381,306.164809,288.606017,292.333398,293.114128
135.713,309.135137,290.265015,294.118047,294.215690,306.169739,288.609960,292.335705,293.075617
136.054,309.137590,290.267595,294.116366,294.286549,306.169420,288.608031,292.331432,293.048174
136.412,309.137219,290.264719,294.114513,294.245834,306.166042,288.604129,292.328484,293.028581
136.754,309.134211,290.262773,294.117530,294.229576,306.164170,288.606017,292.330834,293.105722
137.131,309.132591,290.263661,294.115763,294.208101,306.166042,288.606311,292.325579,293.066998
137.473,309.137914,290.265269,294.119211,294.279561,306.166361,288.604842,292.330535,293.049032
137.825,309.140413,290.265861,294.116581,294.234233,306.167913,288.607192,292.326434,293.019664
138.185,309.136016,290.264719,294.113694,294.219744,306.163258,288.603416,292.326263,293.094828
138.541,309.134211,290.263535,294.116280,294.194390,306.163303,288.603836,292.327715,293.063267
138.895,309.134813,290.263661,294.114297,294.266233,306.164809,288.600647,292.326519,293.045602
139.253,309.135414,290.263365,294.114858,294.244152,306.166635,288.601235,292.323913,293.034926
139.607,309.136664,290.265861,294.114858,294.212456,306.162710,288.604968,292.328783,293.090111
139.973,309.143514,290.266453,294.117443,294.200211,306.166042,288.604968,292.326519,293.065883
140.295,309.142912,290.266453,294.119211,294.259160,306.166635,288.603248,292.330535,293.048474
140.675,309.138515,290.264254,294.114599,294.232767,306.179280,288.607737,292.328783,293.041786
141.024,309.136988,290.264719,294.116280,294.206635,306.167274,288.605430,292.329082,293.083764
141.364,309.136062,290.265269,294.116064,294.303329,306.168826,288.606017,292.330151,293.069527
141.728,309.136988,290.267891,294.116366,294.252561,306.171246,288.610086,292.330535,293.050232
142.070,309.136386,290.264719,294.115763,294.223495,306.188227,288.612561,292.336816,293.048560
142.417,309.136386,290.266453,294.114599,294.202281,306.174030,288.609960,292.335150,293.081491
142.771,309.137590,290.267891,294.117142,294.296729,306.170333,288.609960,292.337756,293.071286
143.146,309.141338,290.268779,294.117831,294.248809,306.174030,288.611093,292.332586,293.050790
143.485,309.140089,290.269244,294.118047,294.221727,306.175582,288.612813,292.335919,293.113527
143.847,309.136386,290.266453,294.118392,294.201116,306.173437,288.610799,292.336901,293.077075
144.186,309.139163,290.268483,294.118047,294.288317,306.174669,288.610212,292.334850,293.065325
144.576,309.137914,290.267341,294.115763,294.246135,306.174943,288.611093,292.335705,293.048775
144.933,309.139163,290.267891,294.118133,294.220304,306.175263,288.612268,292.337200,293.104521
145.270,309.142912,290.269075,294.118909,294.203186,306.174030,288.609373,292.332287,293.073344
145.617,309.140367,290.270429,294.118909,294.285082,306.171885,288.610212,292.333184,293.062066
145.971,309.142310,290.270809,294.119814,294.236518,306.175263,288.610799,292.335449,293.032096
