timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF,CH4_pF,CH5_pF,CH6_pF,CH7_pF
323.655,339.427341,343.418379,344.294629,351.370067,398.751984,349.842555,350.969934,357.025371
324.074,339.426335,343.420424,344.295656,351.373738,399.638000,349.823872,350.974599,357.048995
324.494,339.426335,343.419724,348.946583,351.371624,397.019577,349.837193,350.968713,357.074044
324.918,339.427341,343.421447,344.293225,351.374072,397.172297,349.835811,350.968879,357.096989
325.337,339.427341,347.488832,344.297060,351.376520,397.239757,349.840455,350.973766,357.114413
325.758,339.426335,343.425214,348.956057,351.376854,398.758528,349.840123,350.975821,357.137532
326.175,339.426335,347.488394,348.950879,351.380692,398.742636,349.849300,350.980986,357.166691
326.595,339.427023,343.428336,344.301544,351.377187,397.221695,349.846701,350.979598,357.191012
327.015,339.426335,347.492390,348.958150,351.378578,398.750782,349.845706,350.978765,357.205252
327.435,339.427341,347.489544,348.953303,351.377910,397.030857,349.852395,350.980320,357.239261
327.856,339.426335,343.430436,348.955396,351.379802,397.240089,349.852893,350.989484,357.261481
328.276,339.427341,347.492992,348.961014,351.364838,399.668413,349.864945,350.990428,357.277833
328.696,339.427341,347.496223,348.960353,351.386422,397.364628,349.856707,350.993316,357.300968
329.116,339.426335,343.444485,344.320886,351.388146,397.050167,349.861572,350.999037,357.325359
329.536,339.426970,343.442116,344.319859,351.384697,399.678462,349.867709,350.995094,357.349011
329.956,339.427341,343.441417,344.304300,351.382917,397.060519,349.850350,350.966436,357.317722
330.376,339.427341,347.458998,348.930061,351.377187,398.781833,349.851842,351.001648,357.378537
330.797,339.427341,343.443139,344.301922,351.366451,397.383098,349.872353,351.000592,357.407382
331.216,339.426653,343.455628,344.327531,351.391818,399.685229,349.881088,351.010146,357.425511
331.637,339.426653,343.459988,344.334447,351.392986,397.073726,349.879651,351.006869,357.458125
332.056,339.427341,343.454874,344.328125,351.391429,397.204696,349.878987,351.007924,357.467534
332.477,339.427023,343.455897,344.334771,351.392986,397.181525,349.879430,351.004258,357.478254
332.899,339.427341,343.454874,348.972030,351.390761,397.262601,349.878655,351.009646,357.501693
333.320,339.426335,347.500767,348.970873,351.396102,399.689852,349.881752,351.007202,357.523822
333.737,339.427341,343.465910,348.973407,351.392653,398.800531,349.883631,351.010368,357.539507
334.161,339.426335,343.440071,344.336824,351.395657,397.314407,349.885014,351.018144,357.555137
334.577,339.426970,347.501807,348.973076,351.393877,397.279204,349.886728,351.014645,357.573677
334.997,339.427341,343.463111,344.341687,351.399774,397.106512,349.891372,351.023977,357.963103
335.418,339.426653,347.150309,348.613384,351.189567,397.156430,349.614469,350.618533,357.601118
335.837,339.426653,343.353583,348.775248,351.147715,396.711608,349.268660,350.443743,357.687684
336.258,339.427341,347.233254,348.680549,350.995427,398.592379,349.269046,350.443577,357.012223
336.678,339.427341,347.355073,348.850661,351.293146,399.621253,349.723789,350.831411,357.744022
337.098,339.427341,347.357808,348.849615,351.291423,397.288901,349.747107,350.882758,357.518632
337.518,339.426335,347.347358,348.837063,351.284638,399.592452,349.751417,350.833132,357.485554
337.938,339.426335,343.380435,344.279450,351.351655,398.777626,349.780042,350.813539,357.574361
338.358,339.427341,343.456974,344.335798,351.396825,397.154106,349.869810,350.979820,357.618748
338.778,339.427711,343.402555,344.297060,351.371958,398.788911,349.828404,350.970268,357.687341
339.199,339.427341,347.447175,348.933200,351.381526,397.388612,349.862070,350.994538,357.737400
339.619,339.427023,343.446638,344.328125,351.385142,399.652469,349.867045,350.995427,357.730436
340.038,339.426335,343.426614,348.923012,351.372348,397.274489,349.812872,350.943556,357.570482
340.461,339.427341,343.406968,344.284906,351.355493,399.618038,349.828736,350.954163,357.579895
340.880,339.426335,343.397711,344.278747,351.345592,398.765940,349.776782,350.891752,357.523822
341.299,339.427023,343.398034,344.277667,351.345592,397.058661,349.815304,350.947166,357.724956
